Mazda,Mazda 3 (2010-2024),R134a,450-550
Mazda,Mazda 6 (2013-2024),R134a,500-600
Mazda,CX-5 (2012-2024),R134a,450-550
Mazda,BT-50 (2012-2023),R134a,600-750
Mitsubishi,Xpander (2018-2024),R134a,470-550
Mitsubishi,Triton (2009-2023),R134a,500-600
Mitsubishi,Outlander (2014-2024),R134a,480-550
Mitsubishi,Attrage (2014-2023),R134a,350-450
Ford,Ranger (2012-2024),R134a,600-800
Ford,Everest (2009-2024),R134a,650-850
Ford,EcoSport (2014-2022),R134a,450-550
Ford,Transit (2012-2023),R134a,850-1100
Ford,Explorer (2016-2023),R134a,750-950
VinFast,Fadil (2019-2022),R134a,380-450
VinFast,Lux A2.0 (2019-2022),R134a,550-650
VinFast,Lux SA2.0 (2019-2022),R134a,650-750
Suzuki,Swift (2013-2023),R134a,350-450
Suzuki,XL7 (2020-2024),R134a,450-550
Isuzu,D-Max (2012-2023),R134a,450-600
Chevrolet,Cruze (2010-2018),R134a,500-600
Chevrolet,Colorado (2013-2020),R134a,550-650
Mercedes,C-Class (2011-2022),R134a,550-650
Mercedes,E-Class (2010-2022),R134a,600-750
Mercedes,GLC (2016-2023),R134a,550-650
BMW,3 Series (2012-2022),R134a,500-600
BMW,5 Series (2011-2022),R134a,600-750

